Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-9.99597,4.6932e-23,9.99597,-41.1093,1,0
0.499606,0.0196294,0,0.499991,0.39647,-9.98812,1.27304e-22,9.99599,-41.8684,1,21
0.498443,0.0392283,0,0.499984,0.787662,-9.96476,8.03725e-23,9.99584,-42.6292,1,42
0.496512,0.0587665,0,0.499978,1.17763,-9.92611,0,9.99572,-43.3902,1,63
0.493818,0.0782141,0,0.499973,1.56579,-9.87222,0,9.99562,-44.148,1,84
0.490363,0.097541,0,0.49997,1.95154,-9.80319,0,9.99555,-44.9004,1,105
0.486153,0.116718,0,0.499967,2.33429,-9.71912,0,9.9955,-45.6452,1,126
0.481194,0.135715,0,0.499966,2.71346,-9.62012,-9.7205e-24,9.99548,-46.3809,1,147
0.475495,0.154503,0,0.499967,3.08846,-9.50638,-9.7205e-24,9.99549,-47.106,1,168
0.469064,0.173053,0,0.499968,3.45871,-9.37804,0,9.99552,-47.8191,1,189
0.46191,0.191337,0,0.499971,3.82367,-9.23532,0,9.99557,-48.5192,1,210
0.454046,0.209326,0,0.499975,4.18277,-9.07841,-4.62732e-22,9.99565,-49.2052,1,231
0.445482,0.226993,0,0.49998,4.53545,-8.90757,-4.62732e-22,9.99575,-49.8763,1,252
0.436232,0.244311,0,0.499987,4.88118,-8.72306,0,9.99589,-50.5317,1,273
0.426311,0.261253,0,0.499994,5.21943,-8.52517,0,9.99604,-51.171,1,294
0.415733,0.277794,0,0.500003,5.54969,-8.31417,0,9.99622,-51.7935,1,315
0.404515,0.293906,0,0.500013,5.87144,-8.09042,0,9.99643,-52.3998,1,336
0.392674,0.309567,0,0.500025,6.18419,-7.85423,-1.10304e-21,9.99666,-52.9928,1,357
0.380228,0.324752,0,0.500037,6.48746,-7.60598,-1.10304e-21,9.99691,-53.5754,1,378
0.367197,0.339437,0,0.500051,6.7808,-7.34605,0,9.99718,-54.1379,1,399
0.3536,0.3536,0,0.500066,7.06907,-7.06907,0,9.99717,-54.6446,1,420
0,0.5,0,0.5,9.99597,0,4.6932e-23,9.99597,-59.8495,1,882
0.0196294,0.499606,0,0.499991,9.98812,-0.39647,0,9.99599,-59.8526,1,883
0.0392283,0.498443,0,0.499984,9.96476,-0.787662,0,9.99584,-59.8022,1,884
0.0587665,0.496512,0,0.499978,9.92611,-1.17763,0,9.99572,-59.7214,1,885
0.0782141,0.493818,0,0.499973,9.87222,-1.56579,0,9.99562,-59.617,1,886
0.097541,0.490363,0,0.49997,9.80319,-1.95154,0,9.99555,-59.4874,1,887
0.116718,0.486153,0,0.499967,9.71912,-2.33429,0,9.9955,-59.3312,1,888
0.135715,0.481194,0,0.499966,9.62012,-2.71346,-9.7205e-24,9.99548,-59.1483,1,889
0.154503,0.475495,0,0.499967,9.50638,-3.08846,-9.7205e-24,9.99549,-58.9393,1,890
0.173053,0.469064,0,0.499968,9.37804,-3.45871,0,9.99552,-58.7047,1,891
0.191337,0.46191,0,0.499971,9.23532,-3.82367,0,9.99557,-58.4451,1,892
0.209326,0.454046,0,0.499975,9.07841,-4.18277,-4.62732e-22,9.99565,-58.161,1,893
0.226993,0.445482,0,0.49998,8.90757,-4.53545,-4.62732e-22,9.99575,-57.8531,1,894
0.244311,0.436232,0,0.499987,8.72306,-4.88118,0,9.99589,-57.522,1,895
0.261253,0.426311,0,0.499994,8.52517,-5.21943,0,9.99604,-57.1685,1,896
0.277794,0.415733,0,0.500003,8.31417,-5.54969,0,9.99622,-56.7933,1,897
0.293906,0.404515,0,0.500013,8.09042,-5.87144,0,9.99643,-56.3974,1,898
0.309567,0.392674,0,0.500025,7.85423,-6.18419,-1.10304e-21,9.99666,-55.9823,1,899
0.324752,0.380228,0,0.500037,7.60598,-6.48746,-1.10304e-21,9.99691,-55.5501,1,900
0.339437,0.367197,0,0.500051,7.34605,-6.7808,0,9.99718,-55.104,1,901
-0.3536,0.3536,0,0.500066,7.06907,7.06907,0,9.99717,-53.2437,1,1722
-0.339437,0.367197,0,0.500051,7.34605,6.7808,0,9.99718,-53.8624,1,1723
-0.324752,0.380228,0,0.500037,7.60598,6.48746,-1.10304e-21,9.99691,-54.4194,1,1724
-0.309567,0.392674,0,0.500025,7.85423,6.18419,-1.10304e-21,9.99666,-54.9503,1,1725
-0.293906,0.404515,0,0.500013,8.09042,5.87144,0,9.99643,-55.4647,1,1726
